time,step,number,surface,latitude,longitude,valid_time,tp,actual_latitude,actual_longitude,target_latitude,target_longitude
2022-01-05 18:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-06 06:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 18:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-06 05:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 18:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-06 04:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 18:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-06 03:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 18:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-06 02:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 18:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-06 01:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 18:00:00,0 days 06:00:00,0,0.0,51.6,-0.2,2022-01-06 00:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 18:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2022-01-05 23:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 18:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2022-01-05 22:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 18:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2022-01-05 21:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 18:00:00,0 days 02:00:00,0,0.0,51.6,-0.2,2022-01-05 20:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 18:00:00,0 days 01:00:00,0,0.0,51.6,-0.2,2022-01-05 19:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-06 06:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-06 18:00:00,0.0004503429,51.6,-0.2,51.5074,-0.1278
2022-01-06 06:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-06 17:00:00,0.00044575334,51.6,-0.2,51.5074,-0.1278
2022-01-06 06:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-06 16:00:00,0.00028568506,51.6,-0.2,51.5074,-0.1278
2022-01-06 06:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-06 15:00:00,0.000116318464,51.6,-0.2,51.5074,-0.1278
